[2009年09月01日23:41:25][Error][main.cpp:main()]: 
[2009年09月01日23:42:30][Error][main.cpp:main()]: 
[2009年09月01日23:42:32][Error][main.cpp:main()]: 
[2009年09月01日23:42:32][Error][main.cpp:main()]: 
[2009年09月01日23:42:33][Error][main.cpp:main()]: 
[2009年09月01日23:42:34][Error][main.cpp:main()]: 
[2009年09月01日23:42:35][Error][main.cpp:main()]: 
[2009年09月01日23:42:49][Error][main.cpp:main()]: 
[2009年09月01日23:42:50][Error][main.cpp:main()]: 
[2009年09月01日23:42:52][Error][main.cpp:main()]: 
[2009年09月01日23:42:54][Error][main.cpp:main()]: 
[2009年09月01日23:42:58][Error][main.cpp:main()]: 
[2009年09月01日23:42:59][Error][main.cpp:main()]: 
[2009年09月01日23:44:03][Error][main.cpp:main()]: 
[2009年09月01日23:44:10][Error][main.cpp:main()]: 
[2009年09月01日23:44:26][Error][main.cpp:main()]: 
[20090902 00:40:14][Error][main.cpp:main()]: 
[20090902 00:40:50][Error][main.cpp:main()]: 
[20090902 00:53:35][Error][main.cpp:main()]: 
[20090902 00:58:46][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:29][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:30][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:31][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:32][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:33][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:33][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:34][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:34][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:35][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:36][Error][main.cpp:main()]: content---MyLog
[20090902 00:59:36][Error][main.cpp:main()]: content---MyLog
[20090902 01:02:26][Error][main.cpp:main()]: 中文---MyLog
[20090902 01:02:26][Error][main.cpp:main()]: content---MyLog
[20090902 01:04:26][Error][main.cpp:main()]: content[0]---MyLog
[20090902 01:04:26][Error][main.cpp:main()]: content[1]---MyLog
[20090902 01:04:26][Error][main.cpp:main()]: content[2]---MyLog
[20090902 01:04:26][Error][main.cpp:main()]: content[3]---MyLog
